tick,humans,zombies
1,8000,400
2,8000,400
3,8000,400
4,8000,400
5,8000,400
6,8000,400
7,8000,400
8,8000,400
9,8000,400
10,8000,400
11,7888,512
12,7823,577
13,7765,635
14,7687,713
15,7630,770
16,7571,829
17,7528,872
18,7502,898
19,7452,948
20,7420,980
21,7364,1036
22,7310,1090
23,7243,1157
24,7165,1235
25,7088,1312
26,7028,1372
27,6958,1442
28,6900,1500
29,6837,1563
30,6778,1622
31,6693,1707
32,6625,1775
33,6549,1851
34,6482,1918
35,6402,1998
36,6327,2073
37,6237,2163
38,6172,2228
39,6098,2302
40,6008,2392
41,5927,2473
42,5849,2551
43,5783,2617
44,5698,2702
45,5615,2785
46,5519,2881
47,5412,2988
48,5319,3081
49,5235,3165
50,5142,3258
